Adenilso Simao, PQ-2
Francisco Tenorio de Carvalho, PQ-1B
Francisco Vilar Brasileiro, PQ-1C
Gabriel Luca Nazar, PQ-2
George Cavalcanti, PQ-1D
George Teodoro, PQ-2
Geraldo Robson Mateus, PQ-1A
Gerberth Adín Ramírez Rivera, PQ-2
Gerson Zaverucha, PQ-1D
Giancarlo Guizzardi, PQ-2
Gilberto Camara, PQ-1C
Gilson Giraldi, PQ-2
Gisele Pappa, PQ-2
Gracaliz Dimuro, PQ-2
Guido Araujo, PQ-1B
Guilherme Travassos, PQ-1D
Guilherme Oliveira Mota, PQ-2
Guilherme Pimentel Telles, PQ-2
Gustavo Bittencourt Figueiredo, PQ-2
Gustavo Batista, PQ-2
Gustavo Pessin, PQ-2
Haroldo Gambini Santos, PQ-2
Heitor Silvério Lopes, PQ-2
Heitor Ramos, PQ-2
Helio Lopes, PQ-2
Helio Pedrini, PQ-2
Henrique Cota de Freitas, PQ-2
Hermes Senger, PQ-2
Hyggo Oliveira de Almeida, PQ-2
Ingrid Oliveira, PQ-2
Jacob Scharcanski, PQ-1C
Jaelson Castro, PQ-2
Jano Moreira de Souza, PQ-2
Jarbas Joaci de Mesquita Sá Junior, PQ-2
Jayme Szwarcfiter, PQ-1A
Jefersson dos Santos, PQ-2
Joao Batista Florindo, PQ-2
Joao Eduardo Ferreira, PQ-2
Joao Comba, PQ-1C
Joao Paulo Almeida, PQ-2
João Paulo Pordeus Gomes, PQ-2
Joaquim Cavalcante, PQ-2
Joni da Silva Fraga, PQ-1D
Jorge Stolfi, PQ-1A
Jose Antonio Fernandes de Macedo, PQ-2
Jose Carlos Maldonado, PQ-1A
José Fernando Rodrigues Júnior, PQ-2
Jose Ferreira de Rezende, PQ-1D
Jose Marcos Nogueira, PQ-1C
Jose Neuman de Souza, PQ-1D
Jose Palazzo de Oliveira, PQ-1C
Judith Kelner, PQ-1D
Jugurta Lisboa Filho, PQ-2
Julio Leite, PQ-1D
Julio Cesar Silva Araujo, PQ-2
Jurandy Almeida, PQ-2
Jussara Almeida, PQ-1C
Kelvin Lopes Dias, PQ-2
Leandro Villas, PQ-2
Leandro Fernandes, PQ-2
Leandro Nunes de Castro Silva, PQ-2
Lehilton Lelis Chaves Pedrosa, PQ-2
Leliane Nunes de Barros, PQ-2
Leonardo da Rocha, PQ-2
Leonardo Murta, PQ-2
Lisandro Zambenedetti Granville, PQ-1C
Luci Pirmez, PQ-2
Lucia Drummond, PQ-1D
Luciana Buriol, PQ-1D
Luciano da Fontoura Costa, PQ-1A
Luciano Gaspary, PQ-1D
Luciano Silva, PQ-1D
Luerbio Faria, PQ-1D
Luidi Gelabert Simonetti, PQ-2
Luigi Carro, PQ-1A
Luis Alfredo Vidal de Carvalho, PQ-2
Luis Carlos De Bona, PQ-2
Luis Lamb, PQ-1B
Luis Enrique Zárate Gálvez, PQ-2
Luis Fabricio Goes, PQ-2
Luis Gustavo Nonato, PQ-1C
Luis Henrique Maciel Kosmalski Costa, PQ-1C
Luis Marti Orosa, PQ-2
Luiz Carlos Albini, PQ-2
Luiz Chaimowicz, PQ-2
Luiz Eduardo Soares Oliveira, PQ-1D
Luiz Fernando Bittencourt, PQ-2
Luiz Fernando Rust da Costa Carmo, PQ-2
Luiz Filipe Vieira, PQ-2
Luiz Marcos Goncalves, PQ-2
Luiz Satoru Ochi, PQ-1C
Luiza Macedo Mourelle, PQ-1D
Manoel Bezerra Campelo Neto, PQ-2
Manuel Oliveira, PQ-1C
Marcelo d'Amorim, PQ-2
Marcelo Finger, PQ-1B
Marcelo Rubinstein, PQ-2
Marcelo Henriques de Carvalho, PQ-1D
Marcelo Lobosco, PQ-2
Marcelo Pimenta, PQ-2
Marcia Helena Costa Fampa, PQ-2
Marcia Rosana Cerioli, PQ-2
Marcio Castro, PQ-2
Marcio Ribeiro, PQ-2
Marcio Barros, PQ-2
Marcio Dorn, PQ-2
Marcio Basgalupp, PQ-2
Marco Antonio Casanova, PQ-1B
Marco Molinaro, PQ-2
Marco Tulio Valente, PQ-1D
Marcos Andre Goncalves, PQ-1C
Marcos Simplicio Jr, PQ-2
Marcos Vieira, PQ-2
Marcos Quiles, PQ-2
Marcos Borges, PQ-1D
Marcus Rolf Peter Ritt, PQ-2
Marcus Poggi, PQ-1C
Maria Cecilia Calani Baranauskas, PQ-2
Maria Cristina Ferreira de Oliveira, PQ-1C
Maria da Graca Campos Pimentel, PQ-1D
Maria do Carmo Nicoletti, PQ-2
Maria Emilia Telles Walter, PQ-2
Mariana Kolberg, PQ-2
Marinho Barcellos, PQ-1D
Mario Fernando Montenegro Campos, PQ-1B
Mario Lemes Proenca Junior, PQ-2
Mario Benevides, PQ-2
Marley Vellasco, PQ-1C
Marta Mattoso, PQ-1B
Mauricio Ayala Rincon, PQ-1D
Mauro Antonio Rincon, PQ-2
Mauro Fonseca, PQ-2
Michele Nogueira, PQ-2
Miguel Campista, PQ-2
Mirella Moro, PQ-2
Mitre Costa Dourado, PQ-1D
Moacir Ponti, PQ-2
Mylene Christine Queiroz de Farias, PQ-2
Myriam Delgado, PQ-2
Nabor Mendonca, PQ-2
Nadia Nedjah, PQ-1D
Nalvo Franco de Almeida, PQ-2
Nelson Mascarenhas, PQ-1B
Nelson Fonseca, PQ-1A
Nelson Maculan, PQ-1A
Nina Hirata, PQ-2
Nivio Ziviani, PQ-1A
Odemir Martinez Bruno, PQ-1C
Olga Bellon, PQ-1D
Orlando Lee, PQ-2
Otto Carlos Duarte, PQ-1A
Patricia Machado, PQ-2
Paulo Miranda, PQ-2
Paulo Augusto Silva Veloso, PQ-1B
Paulo Costa Carvalho, PQ-2
Paulo Pires, PQ-2
Paulo Henrique Lemelle Fernandes, PQ-2
Paulo Borba, PQ-1D
Paulo Cunha, PQ-1B
Paulo Roberto Oliveira, PQ-1D
Paulo Maciel, PQ-1C
Paulo Salgado Gomes de Mattos Neto, PQ-2
Pedro Braconnot Velloso, PQ-2
Pedro Jussieu de Rezende, PQ-2
Pedro Olmo, PQ-2
Peter Sussner, PQ-2
Philippe Navaux, PQ-1C
Rafael Augusto de Melo, PQ-2
Rafael Crivellari Saliba Schouery, PQ-2
Rafael Lins, PQ-1C
Rafael Bordini, PQ-2
Rafael Prikladnicki, PQ-2
Raphael Carlos Santos Machado, PQ-2
Raquel Mini, PQ-2
Raquel Minardi, PQ-2
Regivan Santiago, PQ-2
Renata Galante, PQ-2
Renata Reiser, PQ-2
Renata Maria Cardoso Rodrigues de Souza, PQ-2
Renato Ferreira, PQ-1D
Renato Krohling, PQ-2
Renato Portugal, PQ-1D
Ricardo Prudencio, PQ-2
Ricardo Guerra Marroquim, PQ-2
Ricardo Martins de Abreu Silva, PQ-2
Ricardo Ferreira, PQ-2
Roberto Cesar Junior, PQ-1A
Rodolfo Azevedo, PQ-2
Rodrigo Barros, PQ-2
Rodrigo Minetto, PQ-2
Rodrygo Santos, PQ-2
Rohit Gheyi, PQ-2
Romulo Silva de Oliveira, PQ-2
Rosa Maria Meri Leao, PQ-2
Rosane Minghim, PQ-1D
Roseli Francelin Romero, PQ-2
Rudini Menezes Sampaio, PQ-2
Sebastian Alberto Urrutia, PQ-2
Sergio Soares, PQ-2
Sheila dos Santos Reinehr, PQ-2
Sheila Regina Murgel Veloso, PQ-2
Siang Song, PQ-SR
Silvia Vergilio, PQ-2
Silvio Guimaraes, PQ-2
Simone Dantas de Souza, PQ-1D
Simone de Lima Martins, PQ-2
Simone Barbosa, PQ-2
Soraia Musse, PQ-1D
Stenio Fernandes, PQ-2
Sulamita Klein, PQ-1B
Tayana Conte, PQ-2
Teresa Ludermir, PQ-1A
Thais Batista, PQ-1D
Thiago Silva, PQ-2
Thiago Noronha, PQ-2
Thiago Oliveira dos Santos, PQ-2
Thibaut Victor Gaston Vidal, PQ-2
Tiago Almeida, PQ-2
Tiago Alessandro Espinola Ferreira, PQ-2
Ueverton dos Santos Souza, PQ-2
Uira Kulesza, PQ-2
Umberto Rivieccio, PQ-2
Valmir Barbosa, PQ-1A
Vanessa Braganholo, PQ-2
Vania Bogorny, PQ-2
Vinicius Santos, PQ-2
Virgilio Almeida, PQ-1A
Vivek Nigam, PQ-2
Viviane Moreira, PQ-2
Wagner Meira, PQ-1B
Wesley Nunes Goncalves, PQ-2
Weverton Cordeiro, PQ-2
William Schwartz, PQ-2
Wilson de Oliveira, PQ-2
Yoshiharu Kohayakawa, PQ-1A
Yoshiko Wakabayashi, PQ-1A
Yuri Abitbol de Menezes Frota, PQ-2
Zanoni Dias, PQ-2
Zhao Liang, PQ-1C
